"","NEGERI","variable","value"
"212","KEDAH","Minggu.15",21
"213","PULAU PINANG","Minggu.15",21
"214","PERAK","Minggu.15",29
"215","SELANGOR","Minggu.15",459
"216","WPKL/PUTRAJAYA","Minggu.15",109
"217","N.SEMBILAN","Minggu.15",25
"218","MELAKA","Minggu.15",11
"219","JOHOR","Minggu.15",79
"220","PAHANG","Minggu.15",17
"221","TERENGGANU","Minggu.15",18
"222","KELANTAN","Minggu.15",38
"223","SARAWAK","Minggu.15",66
"224","SABAH","Minggu.15",19
"225","LABUAN","Minggu.15",1
"226","PERLIS","Minggu.16",4
"227","KEDAH","Minggu.16",18
"228","PULAU PINANG","Minggu.16",18
"229","PERAK","Minggu.16",38
"230","SELANGOR","Minggu.16",441
"231","WPKL/PUTRAJAYA","Minggu.16",138
"232","N.SEMBILAN","Minggu.16",37
"233","MELAKA","Minggu.16",18
"234","JOHOR","Minggu.16",50
"235","PAHANG","Minggu.16",13
"236","TERENGGANU","Minggu.16",17
"237","KELANTAN","Minggu.16",29
"238","SARAWAK","Minggu.16",42
"239","SABAH","Minggu.16",22
"240","LABUAN","Minggu.16",0
"241","PERLIS","Minggu.17",2
"242","KEDAH","Minggu.17",18
"243","PULAU PINANG","Minggu.17",17
"244","PERAK","Minggu.17",40
"245","SELANGOR","Minggu.17",329
"246","WPKL/PUTRAJAYA","Minggu.17",119
"247","N.SEMBILAN","Minggu.17",51
"248","MELAKA","Minggu.17",16
"249","JOHOR","Minggu.17",62
"250","PAHANG","Minggu.17",20
"251","TERENGGANU","Minggu.17",12
"252","KELANTAN","Minggu.17",31
"253","SARAWAK","Minggu.17",55
"254","SABAH","Minggu.17",18
"255","LABUAN","Minggu.17",0
"256","PERLIS","Minggu.18",4
"257","KEDAH","Minggu.18",23
"258","PULAU PINANG","Minggu.18",17
"259","PERAK","Minggu.18",38
"260","SELANGOR","Minggu.18",301
"261","WPKL/PUTRAJAYA","Minggu.18",92
"262","N.SEMBILAN","Minggu.18",42
"263","MELAKA","Minggu.18",10
"264","JOHOR","Minggu.18",88
"265","PAHANG","Minggu.18",15
"266","TERENGGANU","Minggu.18",11
"267","KELANTAN","Minggu.18",35
"268","SARAWAK","Minggu.18",47
"269","SABAH","Minggu.18",37
"270","LABUAN","Minggu.18",0
"271","PERLIS","Minggu.19",4
"272","KEDAH","Minggu.19",21
"273","PULAU PINANG","Minggu.19",18
"274","PERAK","Minggu.19",33
"275","SELANGOR","Minggu.19",337
"276","WPKL/PUTRAJAYA","Minggu.19",91
"277","N.SEMBILAN","Minggu.19",51
"278","MELAKA","Minggu.19",15
"279","JOHOR","Minggu.19",53
"280","PAHANG","Minggu.19",17
